column,dtype,rows,missing,missing_pct,unique,min,max
site_name,str,3720,0,0.0,31,,
requested_latitude,float64,3720,0,0.0,31,-38.33087456312881,-37.54176209066476
requested_longitude,float64,3720,0,0.0,31,144.62955839780793,145.7239722693755
grid_latitude,float64,3720,0,0.0,8,-38.3,-37.5
grid_longitude,float64,3720,0,0.0,9,144.6,145.70001
time,datetime64[us],3720,0,0.0,120,,
uv_index,float64,3720,31,0.833,77,0.0,4.0
pm2_5,float64,3720,31,0.833,186,2.5,28.8
pm10,float64,3720,31,0.833,226,3.1,35.2
