place_id,display_name,place_name,name_source,activity_category,classification_confidence,lga_name,longitude,latitude,feature_type,feature_subtype,decision,source_dataset,source_record_id
vicmap_foi_1343446,Fawkner Park Tennis Club,Fawkner Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.979440628,-37.838118657,sport facility,tennis court,fallback,vicmap_foi,1343446
vicmap_foi_1343464,Parkville Tennis Club,Parkville Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958023288,-37.790983943,sport facility,tennis court,fallback,vicmap_foi,1343464
vicmap_foi_1343471,Marvel Stadium,Marvel Stadium,reviewed_override,sports_ground,high,MELBOURNE,144.947628883,-37.816470958,sport facility,sports ground,fallback,vicmap_foi,1343471
vicmap_foi_1343550,Melbourne Zoological Gardens,Melbourne Zoological Gardens,vicmap_name_label,,medium,MELBOURNE,144.951446136,-37.784275312,reserve,zoo,fallback,vicmap_foi,1343550
vicmap_foi_1343553,Princes Hill Tennis Club,Princes Hill Tennis Club,vicmap_name_label,sports_ground,high,MELBOURNE,144.962546789,-37.78591701,sport facility,sports complex,fallback,vicmap_foi,1343553
vicmap_foi_1343554,Princess Hill Tennis Club,Princess Hill Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.962670524,-37.785889783,sport facility,tennis court,fallback,vicmap_foi,1343554
vicmap_foi_1342882,Unnamed Swimming Pool - Melbourne,,generated_fallback,,medium,MELBOURNE,144.971957424,-37.793446365,sport facility,swimming pool,fallback,vicmap_foi,1342882
vicmap_foi_1343451,Melbourne University Outdoor Basketball Court,Melbourne University,reviewed_override,court,high,MELBOURNE,144.961346015,-37.795476265,sport facility,basketball court,fallback,vicmap_foi,1343451
vicmap_foi_1342994,Royal Park Golf Club,Royal Park Golf Club,vicmap_name_label,sports_ground,high,MELBOURNE,144.956315077,-37.78190397,sport facility,sports complex,fallback,vicmap_foi,1342994
vicmap_foi_1343007,North Park Tennis Club,North Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.944572952,-37.790026684,sport facility,tennis court,fallback,vicmap_foi,1343007
vicmap_foi_1343012,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958153114,-37.779369566,sport facility,tennis court,fallback,vicmap_foi,1343012
vicmap_foi_1343086,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958851198,-37.778255586,sport facility,tennis court,fallback,vicmap_foi,1343086
vicmap_foi_1343158,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.95816132,-37.778513886,sport facility,tennis court,fallback,vicmap_foi,1343158
vicmap_foi_1343160,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.957652234,-37.779573721,sport facility,tennis court,fallback,vicmap_foi,1343160
vicmap_foi_1343231,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958259656,-37.779072001,sport facility,tennis court,fallback,vicmap_foi,1343231
vicmap_foi_1343232,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958013803,-37.779306904,sport facility,tennis court,fallback,vicmap_foi,1343232
vicmap_foi_1343325,North Park Tennis Club,North Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.944381088,-37.790024262,sport facility,tennis court,fallback,vicmap_foi,1343325
vicmap_foi_1343329,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958696066,-37.778238134,sport facility,tennis court,fallback,vicmap_foi,1343329
vicmap_foi_1343330,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958120865,-37.779009995,sport facility,tennis court,fallback,vicmap_foi,1343330
vicmap_foi_1343331,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.95787745,-37.77924507,sport facility,tennis court,fallback,vicmap_foi,1343331
vicmap_foi_1343392,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.95865027,-37.778593563,sport facility,tennis court,fallback,vicmap_foi,1343392
vicmap_foi_1343393,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958400807,-37.779135307,sport facility,tennis court,fallback,vicmap_foi,1343393
vicmap_foi_1343463,North Park Tennis Club,North Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.944763544,-37.790031878,sport facility,tennis court,fallback,vicmap_foi,1343463
vicmap_foi_1343465,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958489824,-37.778566285,sport facility,tennis court,fallback,vicmap_foi,1343465
vicmap_foi_1343559,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958538237,-37.778221545,sport facility,tennis court,fallback,vicmap_foi,1343559
vicmap_foi_1343560,Royal Park Tennis Club,Royal Park Tennis Club,vicmap_name_label,court,high,MELBOURNE,144.958326632,-37.778540633,sport facility,tennis court,fallback,vicmap_foi,1343560
vicmap_foi_626787,Royal Park Golf Course,Royal Park Golf Course,vicmap_name_label,,medium,MELBOURNE,144.952395107,-37.779381797,sport facility,golf course,fallback,vicmap_foi,626787
vicmap_foi_1343019,Melbourne and Olympic Parks,Melbourne Park,reviewed_override,sports_ground,high,MELBOURNE,144.98071276,-37.821905606,sport facility,sports complex,fallback,vicmap_foi,1343019
vicmap_foi_893556,Eynesbury Golf Course,Eynesbury Golf Course,vicmap_name_label,,medium,MELTON,144.56517825,-37.794687951,sport facility,golf course,fallback,vicmap_foi,893556
vicmap_foi_1262818,Unnamed Swimming Pool - Monash,,generated_fallback,,medium,MONASH,145.194053621,-37.920732739,sport facility,swimming pool,fallback,vicmap_foi,1262818
vicmap_foi_1343184,Unnamed Amusement Centre - Melbourne,,generated_fallback,,medium,MELBOURNE,144.967183423,-37.812644644,reserve,amusement centre,fallback,vicmap_foi,1343184
vicmap_foi_667068,Glen Waverley Bowls Club,Glen Waverley Bowls Club,vicmap_name_label,,medium,MONASH,145.160897848,-37.889224748,sport facility,bowling green,fallback,vicmap_foi,667068
vicmap_foi_903257,Wetlands Golf N Games,Wetlands Golf N Games,vicmap_name_label,,medium,MONASH,145.202689991,-37.922998621,sport facility,golf course,fallback,vicmap_foi,903257
