lga_code,site_name,display_name,latitude,longitude
24650,melton,City of Melton,-37.68142666335505,144.63596097650208
24600,melbourne,City of Melbourne,-37.81304457558759,144.9481534322198
24970,monash,City of Monash,-37.89673562404778,145.1412216752278
